DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Ropes,Town,40,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Caps,Town,490,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirts,Town,460,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Gildan,Town,90,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Cards,Vytal prints,98,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Dtf,Nakon,67,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Photographer,Nyamedo,400,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Studio Space,Confirmed media,300,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,polymailer & Delivery,"VIP, Accra",320,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Fuel,Goil,350,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Food,Shawarma boiz,250,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Sarah Transport,Sarah,100,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Pattern fee,MK,100,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Sewing,MK,900,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Crop tops Samples,Fidouse,100,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirt top up,Super,120,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Board,Commercial Area,150,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,T-shirt,Super,1760,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Jeans,Town,180,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Efo sew & tnt,Efo,55,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Crop tops,Fidouse,450,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Fuel,Goil,300,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Food,Pizzaman,400,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Photos,Dankwah,300,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Tote bags,Angela,300,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Leather tags,Accra,300,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Delivery,Tags,Bus,40,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Studio,3Dstudio,120,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Tote Bag print,Asafo,24,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Cards,Vytal prints,42,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Caps,Town,320,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,stamp,Town,750,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics,Town,480,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Chess board,Accra,400,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics and Dtf,Town,200,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics and Dtf,Town,194,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Delivery,chess delivery,OA,150,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,caps embroidery,Morris,250,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics,Town,687.5,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Photography,Photographer,Osei Amoah,500,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Boxes,Accra,1000,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Leather,"Town, Dubai",288,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Jeans,Rails,60,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Board and print,Asafo,150,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabrics,Town,300,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Leather,"Town, dubai",280,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Jeans fabric,Town,340,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Fabric,Town,80,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Delivery,Delivery,Bus,25,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Leather sample,"Town, dubai",50,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,"Sample, cap","Town, Dubai",30,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,caps embroidery,Morris,250,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Jeans button,Joe,200,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Marketing & Advertisement,Cards,Vytal prints,84,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Leather and ribbon,Accra,800,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Zip and Buttons,Town,100,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Website Hosting,Quarter payment of Website,Louis,2500,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Sewing,Bismark,1000,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Black khaki,Rails,400,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-04,Approx. From 17th March to 4th july,Production,Jeans,Rails,945,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-07,,Delivery,Leather and ribbon,Bus,70,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-07,,Marketing & Advertisement,T-shirts,Segoe lane,540,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-07,,Production,T-shirts,Segoe lane,180,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-07,,Production,Dtf,Asafo,30,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-10,,Marketing & Advertisement,Ingredients,"Town, Dubai",175,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-13,,Marketing & Advertisement,Ingredients,"Town, Dubai",300,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-14,,Delivery,Delivery,Bus,50,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-15,,Marketing & Advertisement,Stickers and Cards,Vytal prints,609,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-16,,Marketing & Advertisement,Cards,Vytal prints,71,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-07-23,,Production,T-shirts,Segoe lane,300,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-23,,Production,Caps,Town,140,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-24,,Production,Dtf,Asafo,40,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
