DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,,,
27/2/2026,,Marketing,Ads,Instagram,₵40,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-02-27,,Marketing,Ad payment,Paa,₵220,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
28/2/2026,,Delivery,Boxes,Vip,₵152,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
28/2/2026,,Production,Fabrics,Fragroma,"₵9,820",variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
28/2/2026,,Production,Fabrics,Aviwill Couture,"₵5,890",variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
28/2/2026,,Delivery,Fabrics,Elvis,₵407,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
28/2/2026,,Delivery,Fabrics,Transport,₵206,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
28/2/2026,,Marketing,Ads,Higgsfield,₵520,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-02-28,,AI Tools (Pakeru),Claude sub,Anthropic,₵230,fixed,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-02-28,,Production (Pakeru),Fabrics,Paa,₵950,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-03,,Production,Food,Asokore mampong,75,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
2026-03-03,,Production,transport,Wilson,50,variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,,,
2026-03-03,,Production,Delivery ,VIP,170,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-03,,Production (Pakeru),Paint,Paa,₵200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-03,,AI Tools (Pakeru),Higgsfield AI,Higgsfield,₵564,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-03,,Other,Store purchase,Paa,₵200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-04,,Production,Food,Ayeduase,100,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-08,,Production,Sewing,Bismark,1895,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-09,,Production,Food,Ayeduase,100,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-10,,Production,"Paint, brush",Asokore mampong,200,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-10,,Production,Paint,Patassi,400,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
